Path,ACE,Ql,Qu
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'Transform_tolerance_local']",3.4798710588647026,7.087293002246943,0.36664429440392204
"['Battery_percentage', 'Transform_tolerance_local']",3.4798710588647026,6.989332040747071,2.8340222060187075
"['Battery_percentage', 'Traveled_distance', 'Transform_tolerance_local']",3.4798710588647026,5.8713274589421305,2.4634582644730245
"['Battery_percentage', 'Mission_time', 'Transform_tolerance_local']",3.4798710588647026,7.806293070353267,1.1905829713565868
"['Mission_success', 'recovery_executed', 'DWA_new_plan', 'xy_goal_tolerance']",2.6625744664790925,0.9661144096211692,4.675900276332532
"['Mission_success', 'Error_rotating_goal', 'DWA_new_plan', 'xy_goal_tolerance']",2.6625744664790925,2.0104407197090897,3.763732648932064
"['Mission_success', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'DWA_failed', 'xy_goal_tolerance']",2.6625744664790925,0.1604537947866369,3.1963054291551667
"['Mission_success', 'Error_rotating_goal', 'DWA_new_plan', 'DWA_failed', 'xy_goal_tolerance']",2.6625744664790925,1.417887062888593,4.078989073775156
"['Mission_success', 'xy_goal_tolerance']",2.6625744664790925,2.3899883491133798,4.826176826828059
"['Mission_success', 'recovery_executed', 'DWA_new_plan', 'DWA_failed', 'xy_goal_tolerance']",2.6625744664790925,0.0901825152390626,3.589432801199118
"['Mission_success', 'Mission_time', 'recovery_executed', 'DWA_new_plan', 'xy_goal_tolerance']",2.6625744664790925,2.3540993833045567,4.316112575790121
"['Mission_success', 'Mission_time', 'recovery_executed', 'DWA_new_plan', 'DWA_failed', 'xy_goal_tolerance']",2.6625744664790925,1.0088272280788408,3.076737684923073
"['Mission_success', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'xy_goal_tolerance']",2.6625744664790925,3.156306349651687,4.4670098542122885
"['Mission_success', 'Mission_time', 'Traveled_distance', 'RNS', 'recovery_executed', 'DWA_new_plan', 'xy_goal_tolerance']",2.6625744664790925,1.019995810656949,4.0600178226431485
"['Mission_success', 'Mission_time', 'Traveled_distance', 'RNS', 'recovery_executed', 'DWA_new_plan', 'DWA_failed', 'xy_goal_tolerance']",2.6625744664790925,1.4251519037430351,4.021907095799683
"['Mission_success', 'RNS', 'recovery_executed', 'DWA_new_plan', 'DWA_failed', 'xy_goal_tolerance']",2.6625744664790925,0.9766413735676056,3.390652618413007
"['Mission_success', 'Mission_time', 'Traveled_distance', 'RNS', 'DWA_failed', 'xy_goal_tolerance']",2.6625744664790925,0.8502737069858903,4.541462560234944
"['Mission_success', 'Mission_time', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'xy_goal_tolerance']",2.6625744664790925,2.1077588819075377,4.096100711123716
"['Mission_success', 'Mission_time', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'DWA_failed', 'xy_goal_tolerance']",2.6625744664790925,2.182380105062433,4.697000344703771
"['Mission_success', 'Mission_time', 'Traveled_distance', 'DWA_failed', 'xy_goal_tolerance']",2.6625744664790925,1.611985996587214,3.2951578732239413
"['Mission_success', 'RNS', 'recovery_executed', 'DWA_new_plan', 'xy_goal_tolerance']",2.6625744664790925,1.9195139400752692,4.180960927628225
