Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,recovery_executed,Error_rotating_goal,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
14,17,5,1.46,1,6,0.72,20,16,0,3.58,8.95,11.82,0.33,0.01,0.1,0.07,-0.06,466,704,6,0,0.4,6.94,107.45,90.38,0
16,16,19,2.44,0,4,0.68,7,1,1,2.72,32.34,9.75,0.43,0.04,0.13,0.01,-0.14,0,6226,31,0,0.2,83.28,1473.95,11.45,0
24,19,15,3.94,0,29,0.84,10,11,0,1.26,13.69,34.32,0.09,0.09,0.27,0.17,-0.12,15,764,2,155,0.8,14.22,148.73,80.91,0
6,2,12,2.76,0,17,0.98,20,3,1,4.16,40.01,39.55,0.42,0.02,0.25,0.19,-0.03,923,962,11,0,0,1.2,117.68,93.92,0
24,20,7,1.65,0,11,0.37,13,7,1,4.48,8.02,18.83,0.2,0.08,0.21,0.08,-0.16,0,3602,16,0,0.6,56.31,843.95,11.33,0
17,14,9,4.54,0,3,0.56,18,20,0,3.61,8.31,35.21,0.32,0.08,0.28,0.08,-0.28,0,705,2,155,0.8,14.22,137.66,81.89,0
6,13,20,0.72,0,25,0.14,13,10,0,4.08,42.34,9.77,0.29,0.03,0.09,0.03,-0.23,0,1326,4,0,0.8,21.56,303.69,54.47,0
13,12,12,1.63,0,29,0.83,1,10,0,3.7,25.29,12.71,0.32,0.1,0.2,0.14,-0.01,762,897,8,0,0.2,4.65,116.72,92.15,0
12,6,2,2.55,0,5,0.72,2,14,0,2.44,44.01,17.54,0.43,0.07,0.09,0.2,-0.24,0,578,0,0,1,12.61,127.11,81.89,1
5,8,17,0.75,1,18,0.11,6,4,1,3.01,29.75,23.97,0.48,0.08,0.12,0.18,-0.27,0,442,0,0,1,12.53,98.87,85.94,1
