Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,recovery_executed,Error_rotating_goal,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
15,5,2,1.41,1,15,1,5,2,1,1.87,0.65,0.89,0.01,0.28,0.15,0.32,-0.08,0,5,0,0,1,14.28,44.24,91.92,1
9,4,1,1.87,0,6,10,5,3,1,1.98,0.29,1.26,0.04,0.25,0.23,0.35,-0.09,82,86,2,0,0.8,12.42,64.86,90.99,0
8,6,4,1.86,1,4,2,6,3,0,1.57,0.49,0.77,0.04,0.22,0.17,0.37,-0.23,2,9,0,2,1,16.66,79.32,84.44,1
20,4,1,1.88,0,12,1,7,4,1,1.96,0.81,1.06,0.01,0.22,0.19,0.15,-0.07,0,5,0,0,1,14.47,46.89,91.37,1
16,7,2,1.1,1,9,10,5,3,0,0.9,0.66,1.28,0.02,0.21,0.23,0.25,-0.19,84,88,2,0,0.8,13.03,66.05,90.99,0
4,4,2,1.05,0,20,9,6,2,1,0.71,0.24,0.84,0.01,0.21,0.14,0.12,-0.13,1,6,0,0,1,14.67,52.09,90.81,1
14,7,1,0.8,0,4,5,7,1,1,1.35,0.45,0.84,0.02,0.19,0.2,0.4,-0.02,82,86,2,0,0.8,12.1,68.56,89.98,0
6,7,3,1.51,0,14,10,4,4,1,0.47,0.38,1.47,0.02,0.19,0.1,0.24,-0.03,2,7,0,0,1,14.42,46.5,91.51,1
1,6,4,1.93,0,6,10,5,2,0,1.73,0.57,0.7,0.02,0.19,0.15,0.24,-0.17,1,6,0,0,1,17.36,77.26,84.82,1
5,7,4,0.99,1,2,5,6,1,0,0.31,0.36,0.92,0.02,0.2,0.14,0.29,-0.21,80,84,2,0,0.8,14.16,85.25,86.66,0
2,6,2,1.05,0,9,7,6,1,1,0.53,0.39,1.18,0.04,0.12,0.1,0.14,-0.03,90,252,6,160,0.8,12.11,139.85,81.52,0
1,7,1,0.63,1,6,9,6,3,1,0.76,0.96,0.63,0.01,0.16,0.18,0.15,-0.22,1,6,0,0,1,14.92,58.65,88.66,1
12,4,4,1.64,1,16,2,4,2,0,1.18,0.55,0.71,0.03,0.12,0.2,0.23,-0.25,0,83,4,80,0.8,19.58,135.83,79.98,0
7,6,1,0.72,1,8,6,7,1,1,1.18,0.84,1.01,0.03,0.17,0.23,0.33,-0.04,160,163,4,0,0.8,11.58,80.11,90.99,0
11,4,1,0.34,0,9,1,4,1,1,1.4,0.22,1.41,0.04,0.18,0.3,0.12,-0.08,82,86,2,0,0.8,13.39,84.98,86.66,0
4,6,4,1.16,0,20,10,4,1,0,1.51,0.95,1.32,0.04,0.28,0.29,0.28,-0.02,161,164,4,0,0.6,9.86,77.34,91.65,0
