Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Collisions,Mission_time,Battery_percentage,Mission_success
8,4,4,1.81,0.02,0,16,8,6,3,0,1.67,0.01,0.44,1.45,0.03,0.13,0.19,0.3,-0.03,0,5,0,0,0,0,0,0,6.35E-05,3.17E-05,2.05E-05,0.25,1,14.33,0,44.71,87.27,1
18,7,4,1.13,0.04,1,3,2,6,2,0,1.83,0.03,0.93,0.66,0.02,0.11,0.28,0.18,-0.29,9,93,80,2,2,0,80,80,2.33E-05,1.16E-05,7.15E-06,0.16,1,14.76,0,92.37,77.77,0
6,7,4,1.24,0.03,1,1,8,6,1,0,0.39,0.03,0.5,1.43,0.04,0.24,0.29,0.11,-0.09,82,165,80,4,4,0,80,80,4.8E-06,2.4E-06,1.82E-06,0.1,0.8,12.18,0,102.18,78.89,0
9,7,2,1.83,0.02,0,1,7,7,2,0,0.68,0.02,0.16,1.33,0.04,0.11,0.14,0.28,-0.21,79,83,0,2,2,0,0,0,4E-05,2E-05,1.35E-05,0.25,0.8,13.27,0,72.39,0,0
18,6,2,1.41,0.05,1,2,2,7,4,0,1.9,0.04,0.24,0.53,0.01,0.27,0.11,0.39,-0.17,82,165,80,4,4,0,80,80,6.69E-05,3.34E-05,2.02E-05,0.38,0.8,12.66,0,78.71,86.98,0
14,6,4,0.81,0.05,0,2,8,7,4,1,1.74,0.04,0.22,1.05,0.04,0.13,0.11,0.22,-0.03,160,163,0,4,4,0,0,0,5.33E-05,2.66E-05,1.64E-05,0.19,0.6,11.74,0,129.36,69.88,0
2,4,1,0.69,0.04,0,11,8,4,4,0,0.94,0.01,0.64,0.82,0.04,0.18,0.11,0.19,-0.18,2,7,0,0,0,0,0,0,3.21E-05,1.6E-05,1.12E-05,0.16,1,23.13,0,129.11,58.47,1
4,7,4,1.56,0.03,1,8,2,6,4,0,1.02,0.02,0.62,0.57,0.02,0.16,0.13,0.11,-0.19,79,83,0,2,2,0,0,0,2.14E-05,1.07E-05,6.38E-06,0.08,0.8,13.57,0,78.56,81.71,0
2,7,4,1.19,0.04,0,2,8,5,3,1,1.84,0.03,0.26,1.47,0.01,0.17,0.24,0.19,-0.15,5,10,0,0,0,0,0,0,4.36E-05,2.18E-05,1.32E-05,0.15,1,15.21,0,54.79,84.33,1
4,6,1,0.78,0.02,1,10,9,7,1,0,0.88,0.03,0.18,1.46,0.03,0.26,0.22,0.13,-0.01,0,5,0,0,0,0,0,0,1.24E-05,6.2E-06,4.64E-06,0.08,1,14.91,0,155.76,48.94,1
